base_noise_level,shots,mean_raw_accuracy,mean_zne_accuracy,variance_raw_accuracy,variance_zne_accuracy,std_raw_accuracy,std_zne_accuracy,mean_zne_delta,min_zne_accuracy,max_zne_accuracy,trials
0.0,100,0.60788,0.60788,0.0006403459459459462,0.0006403459459459462,0.025305057714732567,0.025305057714732567,0.0,0.52,0.71,1000
0.0,1000,0.616965,0.616965,0.00022799176676676708,0.00022799176676676708,0.015099396238484738,0.015099396238484738,0.0,0.565,0.665,1000
0.0,10000,0.625915,0.625915,2.6914689689689694e-05,2.6914689689689694e-05,0.005187936939640814,0.005187936939640814,0.0,0.61,0.64,1000
0.01,100,0.606185,0.6076899999999997,0.0006742950700700703,0.0008405193499054597,0.025967192186874388,0.02899171174500498,0.0015049999999996835,0.5225,0.6899999999999996,1000
0.01,1000,0.617115,0.618739583333333,0.0002847365115115128,0.00036971561405155055,0.016874137356069872,0.019227990379952622,0.0016245833333330087,0.5612499999999997,0.6979166666666664,1000
0.01,10000,0.629445,0.6294904166666663,2.999697197197205e-05,5.175266777193912e-05,0.005476949148200305,0.007193932705547024,4.5416666666355685e-05,0.6083333333333328,0.6508333333333333,1000
0.03,100,0.6051,0.6257074999999996,0.0007330730730730733,0.0009788828404793677,0.027075322215498625,0.03128710342104823,0.020607499999999675,0.5145833333333332,0.7291666666666662,1000
0.03,1000,0.615395,0.6217999999999996,0.0004112802552552554,0.0005928319986653328,0.0202800457409557,0.024348141585454376,0.006404999999999676,0.5445833333333332,0.7041666666666665,1000
0.03,10000,0.63485,0.643519583333333,5.323073073073075e-05,0.00012703800866839082,0.007295939331623499,0.011271113905395102,0.008669583333333002,0.609583333333333,0.6804166666666661,1000
0.05,100,0.601705,0.6207399999999997,0.0008692872622622619,0.001064468952285618,0.02948367789578264,0.03262620039608685,0.01903499999999983,0.5012499999999998,0.7454166666666665,1000
0.05,1000,0.61184,0.6418733333333331,0.0005217861861861859,0.0007033036480925362,0.022842639650140828,0.026519872701288295,0.030033333333333127,0.5579166666666665,0.720833333333333,1000
0.05,10000,0.63366,0.6539949999999998,0.00012598038038038044,0.00025220502724947153,0.011224098198981531,0.015880964304772916,0.02033499999999981,0.5987499999999998,0.6995833333333331,1000
0.07,100,0.5975499999999999,0.610043333333333,0.0009355830830830854,0.0010858509870982087,0.03058730264477542,0.03295225314145011,0.012493333333333037,0.4979166666666663,0.7124999999999996,1000
0.07,1000,0.608375,0.631545833333333,0.0005981825575575589,0.0007601250382326777,0.024457770903284683,0.02757036521761505,0.02317083333333302,0.5387499999999998,0.7333333333333331,1000
0.07,10000,0.62724,0.6638974999999997,0.0002066390390390394,0.0003386599592648202,0.014374944836034655,0.01840271608390512,0.03665749999999967,0.6049999999999999,0.728333333333333,1000
0.1,100,0.58229,0.5898195833333332,0.0010627686686686714,0.0011643785297450232,0.03260013295476985,0.034122991219191545,0.007529583333333185,0.47124999999999984,0.6845833333333332,1000
0.1,1000,0.60221,0.6130708333333332,0.000722488388388388,0.0008230937708541865,0.02687914411562221,0.02868961085226125,0.01086083333333318,0.5124999999999998,0.7183333333333332,1000
0.1,10000,0.617385,0.6354529166666665,0.00030253931431431546,0.0003803886231717832,0.0173936573012784,0.019503554116411276,0.018067916666666503,0.5720833333333329,0.6974999999999998,1000
